Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Tenda_0E28C8;C8:3A:35:0E:28:C8;;6;No;WPA,AES-CCM;No;54.0;0;15;0;56;0;0;56;;;Sat Jul  9 21:51:02 2016;Sat Jul  9 21:52:25 2016;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Wilink_040FB0;C8:3A:35:04:0F:B0;;6;No;WPA,AES-CCM;No;54.0;0;305;0;324;0;0;324;;;Sat Jul  9 21:47:29 2016;Sat Jul  9 21:53:05 2016;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
